t,pos_rot_abs_0,pos_rot_abs_1,pos_rot_abs_2,dv_0,dv_1,dv_2,reward
0.0,0.8300780599380774,-0.0439675590607746,0.07182218682691345,0.0,0.0,0.0,0.0
0.01,0.829728918074098,-0.04225253183663896,0.07248940453596243,0.0,0.0,0.0,0.0
0.02,0.8293934072494621,-0.040519040162239374,0.07312944221940462,0.0,0.0,0.0,0.0
0.03,0.8290717165411073,-0.03876784909827413,0.07374208497717787,0.0,0.0,0.0,0.0
0.04,0.8287640271175125,-0.03699973024581143,0.07432712702826823,0.0,0.0,0.0,0.0
0.05,0.8284705121524903,-0.035215461500573524,0.07488437178172254,0.0,0.0,0.0,0.0
0.060000000000000005,0.8281913367428249,-0.03341582679992969,0.07541363190658122,0.0,0.0,0.0,0.0
0.07,0.8279266578297727,-0.031601615862784205,0.07591472940042696,0.0,0.0,0.0,0.0
0.08,0.8276766241244544,-0.02977362392256834,0.0763874956562535,0.0,0.0,0.0,0.0
0.09,0.8274413760371592,-0.02793265145356658,0.07683177152736899,0.0,0.0,0.0,0.0
0.09999999999999999,0.8272210456105903,-0.026079503890828918,0.07724740739005842,0.0,0.0,0.0,0.0
0.10999999999999999,0.8270157564570767,-0.024214991343941148,0.07763426320374146,0.0,0.0,0.0,0.0
0.11999999999999998,0.8268256236997791,-0.022339928304944894,0.07799220856837373,0.0,0.0,0.0,0.0
0.12999999999999998,0.8266507539179146,-0.020455133350717882,0.07832112277885248,0.0,0.0,0.0,0.0
0.13999999999999999,0.8264912450960291,-0.018561428840142863,0.07862089487620132,0.0,0.0,0.0,0.0
0.15,0.8263471865773403,-0.016659640606410512,0.07889142369532261,0.0,0.0,0.0,0.0
0.16,0.8262186590211786,-0.014750597644817466,0.0791326179091211,0.0,0.0,0.0,0.0
0.17,0.8261057343645463,-0.012835131796435443,0.07934439606881806,0.0,0.0,0.0,0.0
0.18000000000000002,0.8260084757878189,-0.010914077428040929,0.07952668664029083,0.0,0.0,0.0,0.0
0.19000000000000003,0.8259269376846083,-0.008988271108707254,0.07967942803628972,0.0,0.0,0.0,0.0
0.20000000000000004,0.8258611656358044,-0.007058551283471932,0.0798025686444009,0.0,0.0,0.0,0.0
0.21000000000000005,0.8258111963878129,-0.0051257579445018325,0.07989606685064171,0.0,0.0,0.0,0.0
0.22000000000000006,0.8257770578350019,-0.003190732300187085,0.07995989105859258,0.0,0.0,0.0,0.0
0.23000000000000007,0.8257587690063686,-0.0012543164426015107,0.07999401970398774,0.0,0.0,0.0,0.0
0.24000000000000007,0.8257563400564341,0.0006826469862271607,0.07999844126470593,0.0,0.0,0.0,0.0
0.25000000000000006,0.8257697722603732,0.0026193151287900573,0.07997315426612023,0.0,0.0,0.0,0.0
0.26000000000000006,0.8257990580133814,0.0045548452468632105,0.07991816728178565,0.0,0.0,0.0,0.0
0.2700000000000001,0.8258441808342798,0.006488395056116171,0.07983349892946139,0.0,0.0,0.0,0.0
0.2800000000000001,0.8259051153733559,0.008419123060113064,0.07971917786248393,0.0,0.0,0.0,0.0
0.2900000000000001,0.8259818274244345,0.010346188883257954,0.07957524275652593,0.0,0.0,0.0,0.0
