t,reward,pos_rot_abs_0,pos_rot_abs_1,pos_rot_abs_2,vel_rot_abs_0,vel_rot_abs_1,vel_rot_abs_2,dv_0,dv_1,dv_2
0.0,-4.128972560418549e-05,0.878666298953418,0.05549672501251176,-0.04638048108736735,0.030047544746333223,-0.17907905546143643,-0.11081258903497979,0.0002503649902000354,-6.674297041576331e-05,0.0001684247601006242
0.01,-3.803575860765832e-05,0.8789622918016157,0.05368694440463045,-0.047472096945357645,0.02900082041279966,-0.18286270099343407,-0.10754475953451861,0.00014965191439391662,8.558850045168279e-07,5.3141280121180996e-05
0.02,-3.7456843952461974e-05,0.8792471879754353,0.05184011518679658,-0.04853102255884881,0.02789219343407428,-0.18652246997134753,-0.10422087631279532,8.585618973890319e-05,3.5398086543387734e-05,-6.565700534152976e-07
0.03,-3.8119143421628644e-05,0.8795205824150447,0.049957308215852175,-0.049556404865086126,0.026743737980516137,-0.1900721416399981,-0.10081217721270899,4.276295720045817e-05,5.015337326058062e-05,-2.4756040878490264e-05
0.04,-3.9019220828320745e-05,0.8797822392254584,0.048039550830594316,-0.05054723451797085,0.025572220107156384,-0.19351618552185165,-0.09730317175827172,1.536585474799696e-05,5.466305558129845e-05,-3.215493859198708e-05
0.05,-3.9439989886972914e-05,0.8800320238138959,0.04608786174945833,-0.0515024503906632,0.024387661539441392,-0.19685552627651268,-0.09368882615832805,-2.8607131046794925e-06,5.259421329273899e-05,-3.302363412697809e-05
0.06,-3.965166362392542e-05,0.8802698805205588,0.0441033095216463,-0.05242098184522157,0.023197906629931313,-0.200085234249314,-0.0899683387980601,-1.399623351929514e-05,4.9903722498585834e-05,-3.129764620171169e-05
0.07,-3.9589905215616796e-05,0.8804958045051424,0.04208700325570172,-0.053301756406790454,0.02200797942689513,-0.20320129137881868,-0.08614167865254421,-2.074568748280987e-05,4.575199873296759e-05,-2.7441784976824912e-05
0.08,-3.945914429675333e-05,0.8807098180479779,0.040040104669530646,-0.05414372675219622,0.02082054557763517,-0.20619846388325558,-0.08221151924503782,-2.5374634969335017e-05,4.140504157889389e-05,-2.3846807749533556e-05
0.09,-3.937797360662443e-05,0.8809119676611009,0.03796383755281017,-0.05494588679773317,0.019637988768455093,-0.20907058225065184,-0.07818214483866408,-2.8088363229822027e-05,3.7869667674231013e-05,-2.1803393825027414e-05
0.1,-3.934095482747508e-05,0.8811023042696033,0.03585948588467899,-0.0557072670599743,0.018460708389669254,-0.21181165939089217,-0.07405737769043819,-3.078725081873625e-05,3.502268584899758e-05,-2.0524601496803502e-05
0.11,-3.928512564082922e-05,0.8812809036584994,0.033728389891990326,-0.05642692983874546,0.017291143946938658,-0.2144161376166021,-0.06984056124890586,-3.1338201188228055e-05,3.2564137045787e-05,-1.9203791168705974e-05
0.12,-3.935212236710015e-05,0.8814478276252857,0.03157194821404695,-0.05710398329529155,0.016127852328468497,-0.216878218952998,-0.06553644484795657,-3.3534365764883667e-05,3.081615631621751e-05,-1.8918087544235652e-05
0.13,-3.9389905113790834e-05,0.8816031603095553,0.029391612359325813,-0.057737575980399594,0.014973015499101391,-0.21919271167673848,-0.06114923177763727,-3.3650980536098074e-05,2.9357917031720424e-05,-1.8794120399076454e-05
0.14,-3.9488349132679024e-05,0.8817469797560902,0.027188879803537257,-0.05832690324753786,0.013825971887980302,-0.22135510162562322,-0.0566837626990943,-3.442119534804639e-05,2.7672068426311975e-05,-1.9146673398302007e-05
0.15,-3.965386878756521e-05,0.8818793569851011,0.02496530327588858,-0.05887120251891079,0.012685972401969673,-0.2233599607459372,-0.05214440209867057,-3.5844529702147384e-05,2.6862346780576393e-05,-1.9183130355279697e-05
0.16,-3.986953612130325e-05,0.8820003593820396,0.022722485153445576,-0.05936976912240581,0.011552608408818308,-0.22520244114950885,-0.04753709343915468,-3.748621439267232e-05,2.6576987008475728e-05,-2.017532174572837e-05
0.17,-3.9995415619732626e-05,0.8821100649919718,0.02046205986280271,-0.05982194648661665,0.010426884279766967,-0.22687948419319123,-0.04286679210178848,-3.781257806815602e-05,2.5314950192011e-05,-2.084117495892681e-05
0.18,-4.0232781814164674e-05,0.8822085355966998,0.018185711210126698,-0.06022713370264302,0.009307137146831766,-0.2283862865932493,-0.03813920270747756,-3.9414669879433756e-05,2.508541491731631e-05,-2.1651275426995396e-05
0.19,-4.042552612944076e-05,0.8822958368134178,0.015895156085097457,-0.06058478408892982,0.00819370324289426,-0.22971970914445639,-0.03335987639819067,-4.01958981205844e-05,2.4558254116556144e-05,-2.2191700428736626e-05
0.2,-4.067076262120344e-05,0.88237202277779,0.01359214233054504,-0.060894420305674914,0.00708539024271077,-0.23087682365435383,-0.028535865315874768,-4.159642100262542e-05,2.3852764022001567e-05,-2.3724341000792197e-05
0.21,-4.082560813090187e-05,0.88243714749546,0.011278442284435572,-0.061155608693641575,0.005982138740087581,-0.2318553714827213,-0.02367164233133206,-4.23971757356313e-05,2.267725980160478e-05,-2.34544568365153e-05
0.22,-4.112442666771123e-05,0.8824912542641381,0.008955868996512777,-0.06136799583793737,0.00488286587298597,-0.23265147325815982,-0.01877532559081157,-4.358450551533544e-05,2.303235668387785e-05,-2.4838121395555224e-05
0.23,-4.140532839074922e-05,0.8825343691469747,0.006626246674070677,-0.06153129468156714,0.0037858061337466657,-0.23326420723180244,-0.013853627531228846,-4.576135085279346e-05,2.2346891797751188e-05,-2.6308422605279292e-05
0.24,-4.151615183951589e-05,0.8825665327579687,0.004291408165864614,-0.06164526781928448,0.0026923857158635996,-0.23369294440021826,-0.008911576924849639,-4.5671213050251686e-05,2.0794316428256188e-05,-2.6051126885503113e-05
0.25,-4.181794135468974e-05,0.8825877563434209,0.0019532117446790717,-0.061709760822765816,0.0015996604568929255,-0.2339353383159096,-0.003957517969251742,-4.767391579428501e-05,2.0483660691237394e-05,-2.728301870050649e-05
0.26,-4.2011314450551496e-05,0.882598058503474,-0.00038647772369094016,-0.06172467551579364,0.0005083522970894469,-0.23399096804924496,0.0010028941189951235,-4.8075101929626946e-05,1.9964176781768424e-05,-2.7249167314548886e-05
0.27,-4.231925759701525e-05,0.8825974348504129,-0.0027257920839477254,-0.06168999874493726,-0.0005838388052117113,-0.23385971456391677,0.005961143852465096,-4.988279503288249e-05,1.9353812765749965e-05,-2.87780164288172e-05
0.28,-4.255897303674109e-05,0.8825858772439592,-0.005062863536267088,-0.06160577811777731,-0.0016772922938974757,-0.23354184369680597,0.010911159338854807,-5.117634429666115e-05,1.872752054624999e-05,-2.94279458258449e-05
0.29,-4.271723587299063e-05,0.882563380029015,-0.007395842470031563,-0.06147212738265254,-0.002771762095497574,-0.2330394086807449,0.015846347193645832,-5.13167267375706e-05,1.676764013573361e-05,-2.9757239905717064e-05
0.3,-4.2990342067098076e-05,0.8825299223761596,-0.009722875219374585,-0.06128923538978313,-0.0038687407656368316,-0.2323522170106139,0.020759235845003852,-5.20951789302536e-05,1.614811557473181e-05,-3.071484364634848e-05
0.31,-4.325920962660312e-05,0.88248546590482,-0.0120421205613047,-0.06105734489976655,-0.004969959078557736,-0.23148172006937354,0.025644487304124264,-5.3789245654995074e-05,1.5639144976164866e-05,-3.026994212497848e-05
0.32,-4.364292813231468e-05,0.8824299485693196,-0.014351760958734484,-0.060776803753080234,-0.006077771538679889,-0.23043047844465323,0.030491664820069007,-5.7057166519539856e-05,1.451993781015679e-05,-3.3655236171363406e-05
0.33,-4.3620431539186586e-05,0.8823633408441863,-0.016650008667528266,-0.0604479690893777,-0.007188896080143456,-0.22920171237724996,0.03529992232474814,-5.630509786977118e-05,1.261426152452435e-05,-3.144461165257748e-05
0.34,-4.3802906398389224e-05,0.8822855987868811,-0.01893509342538108,-0.060071284673936166,-0.008304735370636567,-0.22779735254349903,0.04006069558833033,-5.630636788530631e-05,1.1580355465418345e-05,-3.1549753673034727e-05
0.35000000000000003,-4.4062307531525825e-05,0.8821966565182838,-0.02120527814321136,-0.05964725724119069,-0.009427447760263424,-0.22622088003645865,0.044767800373513626,-5.788759324970555e-05,1.0199034598416341e-05,-3.180950040245614e-05
0.36,-4.435713678674225e-05,0.8820964393969563,-0.02345884917905967,-0.05917646446221645,-0.01055784977750699,-0.2244748035842657,0.04941426485224472,-5.9810268605835475e-05,9.775713532248459e-06,-3.3253167467614905e-05
0.37,-4.437991512598387e-05,0.8819848961161756,-0.02569414996327984,-0.05865950458239181,-0.011693586538349503,-0.22256501288680666,0.05399816540579744,-5.8954792039341846e-05,7.29808234459005e-06,-3.109558581130292e-05
0.38,-4.465030737062342e-05,0.881861957134236,-0.02790954940689407,-0.05809706377357061,-0.01283642071647409,-0.22049418212746213,0.058510851393338725,-5.956543355350478e-05,6.237652244978842e-06,-3.2345113501717454e-05
0.39,-4.496305617446766e-05,0.8817275347715161,-0.03010345580721171,-0.0574898786941593,-0.013988106572790478,-0.2182663600998787,0.06294742161069077,-6.173970034579015e-05,5.44712162140823e-06,-3.354833318699131e-05
0.4,-4.5100473636427996e-05,0.8815815545682592,-0.03227433421598925,-0.05683871917598543,-0.015147287591336597,-0.21588734981190863,0.0673047162816451,-6.244600855396218e-05,3.4305946474849365e-06,-3.3271635057577035e-05
0.41000000000000003,-4.519722771245056e-05,0.8814239526979519,-0.0344206865138098,-0.05614439215706982,-0.01631283202793511,-0.21336094237800374,0.07157918243354412,-6.203662441817651e-05,2.42088850685517e-06,-3.222584081286908e-05
0.42,-4.541550771494762e-05,0.8812546518418228,-0.03654106624107438,-0.055407757582765144,-0.017486044814180503,-0.21069237046459494,0.07576568259037483,-6.305002026958531e-05,1.1174380941651962e-06,-3.231938889395917e-05
0.43,-4.561993586501827e-05,0.881073571444055,-0.03863407353167458,-0.05462971025597365,-0.0186671814637603,-0.20788635831557625,0.0798608929698526,-6.454964620946583e-05,1.595549720342699e-07,-3.206562955627385e-05
0.44,-4.567815817261598e-05,0.8808806546775765,-0.04069836638312531,-0.05381116466779921,-0.01985383688670413,-0.20494876430628925,0.08386301159897633,-6.396777938425381e-05,-1.4338835744364266e-06,-3.027090512992933e-05
0.45,-4.592486012894767e-05,0.8806758331385243,-0.042732653342838045,-0.05295310015197674,-0.0210471067377861,-0.20188466975327132,0.08776571520338411,-6.49114991654548e-05,-2.8328865099031663e-06,-3.17835446780734e-05
0.46,-4.600804439342511e-05,0.8804590563976098,-0.04473570366866212,-0.05205649620497648,-0.022245154893368736,-0.19870018353591523,0.09156914994489934,-6.453249187360002e-05,-4.981847714759477e-06,-3.0457243999787528e-05
0.47000000000000003,-4.621297043337018e-05,0.8802302634765,-0.04670632420873347,-0.05112236953952094,-0.02344897501109986,-0.19539906266737253,0.09526975086899844,-6.578716890026816e-05,-5.529850009830079e-06,-3.031993127482112e-05
0.48,-4.6383241795487014e-05,0.8799893950594158,-0.04864339027786206,-0.05015175993196572,-0.024658367763789418,-0.1919881518621662,0.09886536664800284,-6.754159407158562e-05,-7.565811477400429e-06,-3.0266711614073052e-05
0.49,-4.631470846779803e-05,0.8797364363727143,-0.05054582572240826,-0.049145703183455215,-0.025868833585291344,-0.18847233205962552,0.10235654169901316,-6.559085878289144e-05,-9.06678871423576e-06,-2.790134356719886e-05
0.5,-4.647760388395564e-05,0.8794713604373052,-0.05241260353835996,-0.04810527767068985,-0.027081552197675857,-0.1848564762042308,0.10573916518448406,-6.570226241748884e-05,-1.0101035931733787e-05,-2.816827926196086e-05
0.51,-4.6689625995193155e-05,0.8791941310516459,-0.05424274549247181,-0.04703157328389727,-0.02829740322044393,-0.18114541919329388,0.10901221967589103,-6.765533716324263e-05,-1.0719402211606365e-05,-2.8250768578737253e-05
0.52,-4.6693724231181294e-05,0.8789047507152904,-0.0560353361870713,-0.04592567256061128,-0.02951249263047743,-0.17734543386001358,0.11217657406569087,-6.672058097858004e-05,-1.2371459138521067e-05,-2.652588306423969e-05
0.53,-4.6773881309481645e-05,0.8786032240003954,-0.05778950565885887,-0.04478866780550552,-0.030726587103364483,-0.1734610148409086,0.11523137219341331,-6.6630617206467e-05,-1.3381140101387207e-05,-2.4968184434355438e-05
0.54,-4.702168238047259e-05,0.8782895384717226,-0.059504440037162085,-0.04362169218816164,-0.03194135760360554,-0.16949769125804537,0.11817264710747641,-6.932861738658356e-05,-1.4935127162792344e-05,-2.6923664671593433e-05
0.55,-4.68691509947201e-05,0.8779637477523732,-0.06117936487590645,-0.0424258347321394,-0.03315017696702993,-0.16545940766893752,0.12100491912380418,-6.658178131264801e-05,-1.5448609729332577e-05,-2.412585467030474e-05
0.56,-4.702380216642703e-05,0.877625876965537,-0.0628135630587783,-0.04120220898238733,-0.034355873173541565,-0.16135179238864136,0.12372584033856487,-6.786669420572077e-05,-1.6804548832539227e-05,-2.3648476073663647e-05
0.5700000000000001,-4.7056181278230137e-05,0.8772759810100303,-0.0644063609728908,-0.039951925411615546,-0.03555546002587368,-0.15717915552059508,0.1263358113530117,-6.74071423532343e-05,-1.777549513786059e-05,-2.293346571892198e-05
0.58,-4.705827067192171e-05,0.8769141388229734,-0.06595713279945108,-0.03867608476634872,-0.03674651635842517,-0.15294621694788801,0.12883588990195793,-6.57900213454934e-05,-1.8880811060264037e-05,-2.149954304385759e-05
0.59,-4.727461718659206e-05,0.8765403996718124,-0.06746529702720838,-0.037375797234419084,-0.037932008696091785,-0.14865729757566612,0.13122521420701697,-6.842134654643109e-05,-1.9943107373971e-05,-2.1426932899543952e-05
0.6,-4.722863013105187e-05,0.876154861081421,-0.06893030968613827,-0.0360521507958304,-0.03910709226447856,-0.1443161167406266,0.13350607313625512,-6.751267235858163e-05,-2.0429623534468145e-05,-1.971130819794051e-05
0.61,-4.729244049957908e-05,0.8757576169916671,-0.0703516691597807,-0.03470623515291349,-0.0402721232703571,-0.13992682279382876,0.13567836280705292,-6.827051673152909e-05,-2.0945099590122722e-05,-1.8877953317735573e-05
0.62,-4.724314112050871e-05,0.8753487975733836,-0.0717289120807729,-0.03333912423629892,-0.04142348876372077,-0.13549319084889536,0.13774371725239276,-6.673168369418141e-05,-2.12137436423913e-05,-1.7308220009615213e-05
0.63,-4.734883370986163e-05,0.8749285249798084,-0.07306161376373525,-0.03195189480435163,-0.04256196863062319,-0.13101899673393885,0.13970190567512025,-6.728597882466343e-05,-2.1421717146318577e-05,-1.6973491639729793e-05
0.64,-4.744052683873358e-05,0.8744969319847282,-0.07434939738192661,-0.030545612865349667,-0.043686546920686464,-0.126508951507189,0.14155405073592178,-6.81072623614643e-05,-2.265152759874334e-05,-1.6614476686479488e-05
0.65,-4.741385042869631e-05,0.8740541751484114,-0.07559190911321916,-0.029121315446895855,-0.04479481450739672,-0.12196530120709093,0.14330308899520944,-6.7815061725429e-05,-2.255666157954001e-05,-1.4499594622131454e-05
0.66,-4.745006715066018e-05,0.8736004203579589,-0.07678884920370281,-0.027680042773444845,-0.045885867184694396,-0.11739337368077678,0.14494873710101266,-6.785834127016065e-05,-2.4364297717165376e-05,-1.3920086929484531e-05
0.67,-4.741251073897451e-05,0.8731358556022804,-0.07793993925149435,-0.02622281908956112,-0.04695751905444614,-0.11279524933813113,0.14649262095360172,-6.695828804422572e-05,-2.494410310962033e-05,-1.3028124398216435e-05
0.68,-4.744881863209871e-05,0.8726606654631772,-0.0790449249920155,-0.02475065832950891,-0.04801008524576181,-0.10817326103436041,0.14793580004853155,-6.76075428565651e-05,-2.471119790920452e-05,-1.2442041766232127e-05
0.6900000000000001,-4.741621497662458e-05,0.8721750621451408,-0.08010358701415592,-0.023264556916203927,-0.0490408337466813,-0.1035308452647981,0.14928004182351146,-6.672374187727029e-05,-2.4866474228040946e-05,-1.149695281534154e-05
0.7000000000000001,-4.7438447797947135e-05,0.8716792664824404,-0.08111574577590608,-0.021765497421888956,-0.050048934061606626,-0.0988719231494833,0.15052675281514352,-6.615794590169888e-05,-2.602489943904775e-05,-1.0588480573849539e-05
0.71,-4.748559607797166e-05,0.871173499331932,-0.08208123048906771,-0.020254453588863866,-0.051034371958806314,-0.09419730300282601,0.15167682578680203,-6.673310329491356e-05,-2.5215665934452864e-05,-1.0257685856925493e-05
0.72,-4.74897398907577e-05,0.8706580032932085,-0.08299991302429312,-0.01873236674354719,-0.051995005567127356,-0.08951120024941803,0.1527335119945413,-6.625644253874726e-05,-2.593890349388172e-05,-8.16613324047232e-06
0.73,-4.75283716028061e-05,0.87013302479598,-0.08387168065768649,-0.017200181464004087,-0.05293046081630305,-0.0848150945626974,0.15369649457193715,-6.64808154726744e-05,-2.5582459700558635e-05,-7.895751400551497e-06
0.74,-4.7571273718165235e-05,0.8695988152335044,-0.08469644460471515,-0.015658816550673357,-0.05384026265607243,-0.08011132742160906,0.15456835395620305,-6.726957314959631e-05,-2.512332174564011e-05,-6.557506898855621e-06
0.75,-4.753628630780948e-05,0.8690556578123423,-0.08547415046546172,-0.014109181301167282,-0.054721257587702556,-0.07540330296321862,0.15535004072568542,-6.58847712474988e-05,-2.5680122234128016e-05,-5.784313799663277e-06
0.76,-4.7594677508912774e-05,0.8685038293199833,-0.08620476347188843,-0.012552170080521344,-0.05557409908439986,-0.07069292531199453,0.15604304761936252,-6.610052459983333e-05,-2.587968708331003e-05,-5.032610583755206e-06
0.77,-4.760063975498519e-05,0.8679436267062357,-0.08688826480137539,-0.010988661223216654,-0.056396795116425355,-0.06598175741545526,0.1566489753028936,-6.524298787971387e-05,-2.544865850829077e-05,-4.188967051163731e-06
0.78,-4.7720502913834394e-05,0.8673753350545323,-0.08752466186780548,-0.009419531496724368,-0.05719055344488255,-0.06127235665382706,0.15716797510838712,-6.646077822408756e-05,-2.5507115165905422e-05,-4.693858210957081e-06
0.79,-4.7749880263169844e-05,0.866799256245251,-0.08811398574280133,-0.007845613289906989,-0.05795371189246264,-0.05656705888290536,0.15760447974171793,-6.683479102955927e-05,-2.5895914563692226e-05,-2.2534462547101204e-06
0.8,-4.774519434260454e-05,0.8662157051057723,-0.08865628688184035,-0.006267746373414817,-0.058685009741817167,-0.05186777070079967,0.1579577397340733,-6.672484127491824e-05,-2.625099735817278e-05,-2.0345608629342605e-06
0.81,-4.767854717696571e-05,0.8656250191814125,-0.08915162122369162,-0.004686744064289832,-0.05938216674968985,-0.047175021023853785,0.15823039588135046,-6.509708448545359e-05,-2.523470462130352e-05,-6.295520818292342e-07
0.8200000000000001,-4.782147618526098e-05,0.8650275066669714,-0.08960007550253289,-0.0031034192980464994,-0.06004816350117891,-0.042491820608711275,0.1584224728023155,-6.714482347534551e-05,-2.5467801376708914e-05,-6.351987182002915e-07
0.8300000000000001,-4.7751224571928915e-05,0.8644235237245961,-0.09000176037686472,-0.0015185622250242217,-0.060678237193977386,-0.03782057106462107,0.15853624114315396,-6.507004049507786e-05,-2.632033600079624e-05,2.1548739043372893e-07
0.84,-4.783307462138759e-05,0.8638133975687534,-0.09035677843423984,6.705311289004201e-05,-0.061275251639416675,-0.033160405497776005,0.1585732995691598,-6.650807920965183e-05,-2.4651287516512583e-05,1.2730927757614209e-06
0.85,-4.784243851458347e-05,0.863197481346509,-0.09066526830319799,0.0016526660247735674,-0.061836685125743175,-0.028514917144937407,0.15853496914900678,-6.599287385956904e-05,-2.493437629472924e-05,2.2837554489218533e-06
0.86,-4.785123245455556e-05,0.8625761367880693,-0.09092738013676208,0.0032375180047326223,-0.062361674635262154,-0.02388523861527935,0.15842145901760632,-6.51513346581881e-05,-2.475241713306095e-05,2.1598414952941186e-06
0.87,-4.792898534576553e-05,0.8619497215780051,-0.09114327700836762,0.004820878729557316,-0.06285064846397133,-0.01927263222780136,0.1582355748479154,-6.523988292144746e-05,-2.429950650085409e-05,3.5229028780762637e-06
0.88,-4.7983832548581634e-05,0.861318603682371,-0.0913131323713261,0.0064020154646912755,-0.06330259577971484,-0.014678116495540995,0.1579770594595657,-6.478904465223255e-05,-2.3363347600487785e-05,3.3355271820115982e-06
0.89,-4.8114623187110166e-05,0.8606831464030154,-0.0914371439952378,0.007980219226098218,-0.06371800229458116,-0.01010409768336775,0.15764827947462584,-6.523676166158933e-05,-2.338863294506487e-05,4.2470702344029384e-06
0.9,-4.82524798368219e-05,0.8600437074654667,-0.0915155258575133,0.009554793746300024,-0.06409745478034445,-0.005552169128440067,0.1572504900670899,-6.664088064282288e-05,-2.361749352187755e-05,5.1719071531713755e-06
0.91,-4.830881909876186e-05,0.8594006555163353,-0.09154851411948776,0.01112505814262299,-0.06443989991646885,-0.0010245395129758195,0.1567852187671346,-6.730545341683413e-05,-2.4683615956609456e-05,6.4081320127584335e-06
0.92,-4.8177916584738064e-05,0.8587543954735912,-0.09153632619713002,0.012690325746427363,-0.06474167762987942,0.003480645665122732,0.15625187458873457,-6.46520142071678e-05,-2.2488246834888157e-05,5.862511779600177e-06
0.93,-4.833483947992091e-05,0.8581053031363048,-0.09147921652172447,0.01424993936439746,-0.06500574926531877,0.007959735804771134,0.1556533909367251,-6.521926168721461e-05,-2.2628950051294977e-05,7.084415791116145e-06
0.9400000000000001,-4.845597447156671e-05,0.857453754736176,-0.09137745260384016,0.01580323720968027,-0.06523209429941358,0.012411433809868755,0.15498929881579826,-6.598864977140218e-05,-2.2781877887784166e-05,6.695880184448236e-06
0.9500000000000001,-4.8523308767195815e-05,0.8568001369362755,-0.09123130177961099,0.01734959266732976,-0.0654196580875725,0.016835759185943905,0.1542630999382642,-6.591655432682883e-05,-2.1636744718541176e-05,8.691700744941647e-06
0.96,-4.859909175938496e-05,0.8561448412563732,-0.0910410526958536,0.018888373028265678,-0.06556800438227237,0.021230591408141687,0.15347417625814797,-6.557020422215505e-05,-2.1349372427983545e-05,8.97576324725072e-06
0.97,-4.870466148649452e-05,0.8554882572566925,-0.09080700308820464,0.02041895739314429,-0.06567732430534548,0.025595031920415328,0.15262369649465418,-6.55498275322586e-05,-2.072380743344856e-05,9.357410477051626e-06
0.98,-4.8830537086775335e-05,0.8548307731825544,-0.09052946716735581,0.021940732443176764,-0.0657477797623386,0.029927449194650364,0.15171240661702287,-6.578511976066544e-05,-2.0515847059145525e-05,9.435646087201965e-06
