t,reward,pos_rot_abs_0,pos_rot_abs_1,pos_rot_abs_2,vel_rot_abs_0,vel_rot_abs_1,vel_rot_abs_2,dv_0,dv_1,dv_2
0.0,-0.0006723303316853401,0.8787045825810638,0.055519572064093935,-0.04635948306409342,0.03389974351986261,-0.1768338023348338,-0.10871272953584007,0.004055197134226677,0.0022567100689538876,0.0022682029550195834
0.01,-0.0008649835112091445,0.8790725605536117,0.053752085359546835,-0.04740714751354086,0.036245360703939515,-0.17870919646957797,-0.1031493940523224,0.003450592359143768,0.002059516850307711,0.0023482688813921495
0.02,-0.0010547222267871855,0.8794593543846909,0.051965113915575824,-0.04839772359565689,0.03815012171702808,-0.18064670180228531,-0.09738539501533773,0.0029639635602693535,0.001975688113201513,0.002438522872090199
0.03,-0.001227408282971852,0.8798607836248824,0.050157970212439035,-0.049329977466129396,0.039637621142694236,-0.18264755311380645,-0.09149832868823818,0.0024993678995272476,0.0018798628284316832,0.0024517863630174916
0.04,-0.0013983075451782121,0.8802735049295716,0.04833033910278996,-0.05020234839087547,0.040791892224538676,-0.18467519994749956,-0.0854556031260518,0.002116609335874059,0.0018111906101727717,0.002498433665562956
0.05,-0.0015477322426624659,0.8806939781630938,0.046481462629901375,-0.05101441927171507,0.04159275523568918,-0.1867735664704829,-0.07937166762145895,0.001712478429795943,0.001688492038281874,0.0024316006742463566
0.06,-0.0017014098004923366,0.8811197178996232,0.04461135569427287,-0.05176535179203321,0.042146387175008786,-0.18886626884650967,-0.07320448638361787,0.0014119074109971389,0.0016338706453144045,0.0024079518365311857
0.07,-0.0018481112316597644,0.8815483282863968,0.04272005876295262,-0.052454666225594346,0.042461735403527365,-0.19095070116428378,-0.06699001269827567,0.001117700962535076,0.0015734575774289138,0.002349685378291452
0.08,-0.0019919026562022126,0.8819775643134898,0.04080751001011282,-0.05308178685587902,0.042553716185693743,-0.19303712224535874,-0.060718761323232215,0.0008361371217484985,0.0014944051730224875,0.002302435102924761
0.09,-0.002134125931301867,0.8824057024707291,0.03887386351574794,-0.05364647514631672,0.04247466469410107,-0.19510430199669854,-0.05442454193560346,0.0006043021088472912,0.0014289699100219148,0.002223119760459719
0.1,-0.0022762251451586193,0.8828309351708012,0.03691942035097681,-0.05414849064260551,0.042216246026713,-0.1971373221229583,-0.04810726347680949,0.0003613387213520998,0.0013704018783563966,0.0021458623235282377
0.11,-0.002418751429807757,0.8832521198759977,0.034944657709189295,-0.054587963500490486,0.04184510076011762,-0.1991191277959597,-0.04180414826221196,0.00018199493576427997,0.0013219083717873194,0.0020335818558448286
0.12,-0.0025709058673618044,0.8836680411840434,0.03295009339025122,-0.05496428724245518,0.04135388626146355,-0.20104545586052205,-0.035441598725291235,-7.684570353643271e-06,0.0012703151578591677,0.001997347055500479
0.13,-0.002724516394280663,0.8840780830545782,0.03093642181526186,-0.0552775217675386,0.040802714156718364,-0.2028991361988357,-0.02908648359251116,-0.00014050317972036128,0.0012295031134921936,0.0018969589973752401
0.14,-0.0028805570354823377,0.8844815136018864,0.02890410328945405,-0.055527891993582316,0.040179673662476885,-0.20470335252403937,-0.022755277824898883,-0.000287889715293333,0.001158664431463415,0.0017830666470125395
0.15,-0.003047114372415261,0.8848775277335705,0.02685390301557505,-0.05571530743754752,0.03947768758153969,-0.20642741835376807,-0.01641673686291647,-0.00044545338326683256,0.0011112993857211443,0.0017036941476829852
0.16,-0.003226240006380186,0.885265570740706,0.024786836492404235,-0.055839402083130804,0.03872196383293933,-0.20804648771393233,-0.010043432247607391,-0.0005812569321743587,0.0010818786134523216,0.0016553634788215885
0.17,-0.0034078519671766794,0.8856453782545177,0.02270363895640927,-0.05590047874850701,0.03794109238795369,-0.20958875701602206,-0.0037024012939335382,-0.0006911698767488754,0.0010177640548186813,0.0015439473039718292
0.18,-0.0036033988424273708,0.8860164323885407,0.020605393330616294,-0.05589860735897293,0.03711006840808065,-0.2110191587906771,0.002629456733322988,-0.0008292693244529442,0.000981546254591129,0.0014599465497883452
0.19,-0.003811367733991332,0.8863786010503728,0.018493191149790707,-0.05583370466417976,0.03626726421326398,-0.21233713426559053,0.008967189262893235,-0.0009319547080499506,0.0009393566594381581,0.0013956824020660789
0.2,-0.0040285598514063665,0.8867315792271344,0.016368081062701687,-0.05570613320448368,0.035395295911431375,-0.21354674434401302,0.015266179242231222,-0.0010546373754660734,0.000886116998152991,0.0012919097361330629
0.21,-0.004259508218661814,0.8870752714762997,0.014231040412539572,-0.05551600784599754,0.03451480477787806,-0.21465526784193215,0.021550833167699075,-0.0011588436425717286,0.0008189311521513224,0.0012180583465610294
0.22,-0.004506642662880721,0.8874095495867063,0.012083546846501463,-0.0552635209361336,0.033622971441417286,-0.2156126565701596,0.027813320453444597,-0.0012687163966758925,0.0007950179641452066,0.0011423344419191131
0.23,-0.00476981360985359,0.8877340335939656,0.009926877992850455,-0.05494877172395229,0.03269407922249244,-0.21643864174558738,0.03406245896124907,-0.0014063741238928527,0.000744093284181334,0.0010818548596281364
0.24,-0.0050443346624647455,0.8880489946289659,0.007762168786849561,-0.05457203739630945,0.031792987684684734,-0.21714818172154104,0.04028054667042628,-0.0014805691173128599,0.0006722494446072042,0.001010581045988655
0.25,-0.005339135254909276,0.8883541003963932,0.005590862295124031,-0.054133636804096455,0.030859508516047972,-0.21770984705840876,0.04646297453989541,-0.001616550506754743,0.0006247500841864621,0.0009420585258055866
0.26,-0.0056489526883931745,0.8886495178531658,0.0034145144463085773,-0.053633889301923476,0.029943273051373114,-0.21811299502288178,0.05260944909356413,-0.0017042490462792844,0.0005819337502718262,0.000881107131026777
0.27,-0.005977179191274685,0.8889350162710794,0.001234670439589264,-0.05307336106265699,0.02900437124201096,-0.21835832353772536,0.05869514029894234,-0.0018326863252189902,0.0005318705225168203,0.0008036544862657798
0.28,-0.006324946220285005,0.8892104734664958,-0.0009469825053827494,-0.05245231112592993,0.02805360417158285,-0.21843193683606232,0.06475056334383003,-0.0019508944791986132,0.0004896269125014486,0.0007655579383162886
0.29,-0.006684098025423097,0.8894762483388975,-0.00312904572729101,-0.05177171090813674,0.02713828992507083,-0.2183633441223013,0.0707040139870416,-0.002021225695042387,0.00041307372982479713,0.0006650260193364813
0.3,-0.0070648546032866895,0.8897324911166271,-0.005309761901223722,-0.051032312345857346,0.026237743658686013,-0.2181166514989877,0.07657747405330709,-0.0021118457493523274,0.00036758070400456493,0.0005961372990859521
0.31,-0.007470212359547475,0.8899790513693646,-0.007487246581363224,-0.05023436291450978,0.02532180271696677,-0.21767896894185948,0.08242101927611532,-0.0022319027598873293,0.0003300125339533984,0.0005873980872717155
0.32,-0.007895647768170581,0.8902149992770724,-0.009659786706097474,-0.04937892688173793,0.024312048221195648,-0.2170671139719008,0.08815306907119,-0.002428639443433884,0.0002696455857381773,0.0005075837328238
0.33,-0.008331522747717908,0.890440908447509,-0.011825454447278855,-0.048466805326111174,0.023358457358889577,-0.2162613275076698,0.0937994195552621,-0.002473424574759587,0.00022667734217537408,0.0004643959806084893
0.34,-0.008790251840350491,0.8906571574529939,-0.013982229860840915,-0.04749886031498594,0.022441637569847867,-0.2152525179937274,0.09935406456512638,-0.0025353012251845518,0.00019074356348813378,0.0004262434002294793
0.35000000000000003,-0.00927284956502262,0.8908636265577689,-0.016128207623010128,-0.04647606314541497,0.021511199868964066,-0.21405219692479102,0.10480604696625323,-0.002644467713962995,0.00014098056354484674,0.00038835593898644004
0.36,-0.009778639113201855,0.8910598186782964,-0.01826108501938468,-0.045399387729849174,0.020529637343605654,-0.21262047877429163,0.11015466598386954,-0.0027882459556999675,0.0001288681396557483,0.00036113831875846455
0.37,-0.010298413259966225,0.8912465225753681,-0.020378970750649813,-0.04426965903250616,0.019624670034936405,-0.21100032552672857,0.1154154468224497,-0.0028001031619027616,7.499272425385881e-05,0.00036085351802419294
0.38,-0.01084408097917187,0.8914239052632119,-0.022479743837601558,-0.043088164954210424,0.018734498490823176,-0.20916853744902592,0.1205414351734812,-0.0028696376624928743,4.515148549642693e-05,0.00032492969146749124
0.39,-0.01141494453470978,0.8915914782442536,-0.024561079513905702,-0.04185628082237588,0.01779318216417503,-0.20710456297289076,0.12552462502887718,-0.003000936993874268,3.63412306169212e-05,0.00029219978350470305
0.4,-0.012003245897125524,0.8917492844053806,-0.02662087506651823,-0.040575320466715026,0.016853788325586986,-0.20483173198584917,0.13037081465502837,-0.00307415676986949,6.732080058778274e-06,0.0002762198714662416
0.41000000000000003,-0.01261289558930924,0.8918978509024611,-0.02865660552376214,-0.039246369996466385,0.015964751815161982,-0.20230864428036532,0.13510311675088937,-0.0030945691466648384,2.2978708878595813e-05,0.00029401169525894666
0.42,-0.013249584301827736,0.8920372131649627,-0.030665922443762914,-0.037870745508593345,0.015076873390168031,-0.19955296748367873,0.13969867534115363,-0.0031593396536056,2.599181652252531e-05,0.0002991298085454315
0.43,-0.013912838123776878,0.8921671200013104,-0.032646226540627314,-0.03644962206497151,0.014161649533699291,-0.1965399658656534,0.1441721082527943,-0.003248183567351058,5.855952319370935e-05,0.0003285943385534176
0.44,-0.01459585665030777,0.8922882872620272,-0.03459507960882015,-0.034984151527545956,0.013315642339058058,-0.19328688790582224,0.14852571555219404,-0.003235787068365211,8.152131760806816e-05,0.0003694981407570416
0.45,-0.015307431573279736,0.8924007485812797,-0.03651007741807133,-0.033476079552097415,0.012470790682311043,-0.1897971350476287,0.15270032629104907,-0.0032868532442638654,0.00010818889160523516,0.0003597214641431662
0.46,-0.01604300817783791,0.8925051919230618,-0.03838908742949158,-0.03192655582702069,0.01169216516160567,-0.18609863307116403,0.15675654476033823,-0.003267944777152013,0.00011608675937211594,0.0004182844140743382
0.47000000000000003,-0.016812682663823676,0.8926015552030948,-0.04022939288386454,-0.030336831223544206,0.010905846011034413,-0.1821327582177286,0.1606840691600032,-0.0033195455903311816,0.00019094572787213275,0.0004735684241962625
0.48,-0.01761113073334958,0.892689504045298,-0.042028770528263856,-0.028708312426376142,0.010083711096500931,-0.17794880741682959,0.16446806834375516,-0.003395203780177465,0.00022493304297708174,0.0005202990813497901
0.49,-0.018431345627955266,0.8927703008394205,-0.043784862840154454,-0.027042093295164694,0.009386608438917261,-0.17353509492169691,0.16813959030787734,-0.0033067165039913343,0.0002827162420197968,0.0006035390529802461
0.5,-0.01928868813286533,0.8928444976270791,-0.04549532672575906,-0.025339650554375717,0.008743221751895097,-0.16889267307146766,0.17166173606498653,-0.003286839669362658,0.00035047518289342354,0.000654534140298534
0.51,-0.020187780009393287,0.892911799822924,-0.0471573948084069,-0.023601978713708484,0.008069644648690765,-0.1639783959848359,0.17508182550165097,-0.0033495855309452704,0.00047103464220240346,0.0007566963893620092
0.52,-0.021112969700464702,0.8929731954113126,-0.04876894607152477,-0.021830345025432768,0.007494031877410233,-0.15885819410874727,0.17837444568913524,-0.0032822524345023823,0.0005381029385936233,0.0008365832822702838
0.53,-0.02208265547102105,0.8930293822758506,-0.050327699387109785,-0.020025514274266153,0.006987917300629004,-0.15351583194515506,0.18158881675048358,-0.0032424986186701163,0.0006333110693565392,0.0009680402104292446
0.54,-0.02309659854032997,0.8930797591526021,-0.051831270754664246,-0.01818899983495542,0.006421512680284978,-0.14793982119900406,0.18465152342445454,-0.003332489134234406,0.0007493661196754176,0.0010278239245328487
