t,reward,pos_rot_abs_0,pos_rot_abs_1,pos_rot_abs_2,vel_rot_abs_0,vel_rot_abs_1,vel_rot_abs_2,dv_0,dv_1,dv_2
0.0,-3.7130916558934685e-05,0.8786648400775321,0.05549485461630762,-0.04638259494387763,0.029899747709999282,-0.1792645682826265,-0.11102394773836163,0.00010637445416775196,-0.00025526571834497917,-4.2974547814280875e-05
0.01,-3.907366383578152e-05,0.8789586744674288,0.053681716235159764,-0.04747740036607889,0.02878149560539605,-0.18319611486077217,-0.10786363376116884,8.50661208918696e-05,-0.00015169834001625752,-5.451777363642104e-05
0.02,-4.146811272430976e-05,0.879241153111108,0.051830329512886276,-0.0485401021231279,0.027645664170397204,-0.18697541553319424,-0.10459833513861917,6.818875987263234e-05,-8.96477024466457e-05,-5.952614370262356e-05
0.03,-4.37288312823876e-05,0.8795121329791631,0.049942019135613885,-0.04956960940620532,0.026496457721597956,-0.19061946649295783,-0.10122443269464224,5.364366937992669e-05,-5.01454892764409e-05,-6.000675898523712e-05
0.04,-4.5835319531737716e-05,0.8797715201382725,0.04801801543896968,-0.05056480985779612,0.02533858945741092,-0.1941377080876314,-0.09773991254015077,4.2333542081323076e-05,-2.5626666921154043e-05,-5.72851644369682e-05
0.05,-4.764481339850948e-05,0.880019239912712,0.04605951062841284,-0.05152459893587619,0.024173845417755142,-0.1975339387422442,-0.09414570229434135,3.161056740936722e-05,-1.0480923150284925e-05,-5.401200369464767e-05
0.06,-4.932556838367118e-05,0.8802552599184715,0.0440677009107313,-0.052447894443735744,0.0230063565974628,-0.20080777729472674,-0.09044418820136135,2.401589073159079e-05,-4.934703083161335e-07,-5.13448794295959e-05
0.07,-5.057949840354035e-05,0.8804795651480052,0.042043807080645285,-0.05333361669740953,0.021837781739783336,-0.203956772142292,-0.08663577724893548,1.7233881342998893e-05,6.414997783707417e-06,-4.6993871110948216e-05
0.08,-5.1562753345180995e-05,0.8806921547222709,0.03998907722480413,-0.054180709855396546,0.02066945699993998,-0.2069782078517065,-0.08272301420497523,1.1095567791666893e-05,1.0535850723364238e-05,-4.277726485950839e-05
0.09,-5.242649472605778e-05,0.8808930465151353,0.03790480212787049,-0.054988155782276796,0.019503195309017306,-0.20986785061767504,-0.07870983351911358,6.202529751662743e-06,1.345058499226409e-05,-3.9758743836176255e-05
0.1,-5.312205980680588e-05,0.8810822648780741,0.03579231727658125,-0.0557549710684404,0.018339581681560323,-0.21262126342373042,-0.07459987256628275,1.4503049301789183e-06,1.5429173393503183e-05,-3.731031653099828e-05
0.11,-5.3619806270014284e-05,0.8812598524432005,0.033653005826550605,-0.05648020109711176,0.01718038565305292,-0.2152337435147938,-0.0703961791583187,-1.859326858226641e-06,1.685755716892044e-05,-3.450867031506594e-05
0.12,-5.404328089910264e-05,0.8814258515266347,0.03148829591635725,-0.057162939119279624,0.016025515227925415,-0.21770085101722594,-0.06610370562832829,-5.465665545624652e-06,1.758642880131417e-05,-3.292425792324291e-05
0.13,-5.4324426722151934e-05,0.8815803193760303,0.029299664598205277,-0.05780231628709738,0.014876406498053482,-0.22001778563965324,-0.06172640896064137,-7.728478555037169e-06,1.8151868153578607e-05,-3.122964126559135e-05
0.14,-5.4493396122180964e-05,0.881723311451597,0.02708862941034864,-0.05839750854723535,0.013732817628022928,-0.22218058653462402,-0.05726893052792519,-1.020055070892325e-05,1.7888816334838166e-05,-2.978202902747073e-05
0.15,-5.456172577140165e-05,0.8818548818278402,0.024856757817173055,-0.05894773776590059,0.012594561170418354,-0.22418437067585625,-0.05273602243588862,-1.2726446508621858e-05,1.7926466463611848e-05,-2.837184900068727e-05
0.16,-5.4605749258355605e-05,0.8819750864160263,0.022605662178812908,-0.05945228615970492,0.011461768776497159,-0.22602476989361578,-0.048133873769097384,-1.4882233004964675e-05,1.799562213763896e-05,-2.8126444577861966e-05
0.17,-5.45047073244732e-05,0.8820839862864123,0.020336987160954015,-0.059910483176489504,0.010334894173027864,-0.22769869852184907,-0.043467353994285834,-1.6225486302036253e-05,1.7097579482635084e-05,-2.7430023595519395e-05
0.18,-5.4380044657887324e-05,0.882181633485569,0.018052422072206042,-0.06032171622762309,0.009212995219284013,-0.22920184142081743,-0.03874239827835252,-1.80663744140705e-05,1.6747651428084443e-05,-2.7068169640562207e-05
0.19,-5.415934525406511e-05,0.8822680832115194,0.015753688174189935,-0.06068543007502442,0.008096338298954068,-0.230531170823861,-0.03396487096413765,-1.9098488225458945e-05,1.5997490280943973e-05,-2.6709210974979384e-05
0.2,-5.394227902746189e-05,0.8823433817637212,0.013442536478415288,-0.06100113586286946,0.006983986676633419,-0.2316838849510087,-0.029141525661047277,-2.0436039155928864e-05,1.4963232930233208e-05,-2.7003511036834888e-05
0.21,-5.3585058938024264e-05,0.8824075743293573,0.011120743650224016,-0.06126839544811259,0.005875794798790199,-0.23265761545515132,-0.024277541313362398,-2.1207101186621885e-05,1.3594150089261043e-05,-2.6161997814407952e-05
0.22,-5.328784196572467e-05,0.8824606983635443,0.00879012121595622,-0.061486847528723326,0.004770963100071352,-0.2334490667731769,-0.019380692161919448,-2.202023927136816e-05,1.3209074608586063e-05,-2.6592313935176895e-05
0.23,-5.297356098780882e-05,0.8825027795219789,0.006452492384280736,-0.061656198837676694,0.0036682766590821862,-0.23405728282825047,-0.014457859678681267,-2.321651945536015e-05,1.1871757846628387e-05,-2.7243309482218024e-05
0.24,-5.251625551802218e-05,0.8825338493455407,0.004109693187184366,-0.06177621153316881,0.00256830054518108,-0.2344812029343759,-0.00951464427879952,-2.2964598942655247e-05,1.0140883503410026e-05,-2.670638640041615e-05
0.25,-5.216104715140616e-05,0.8825539189495634,0.0017635794854716433,-0.06184672596273856,0.0014689844909728349,-0.23471905241790866,-0.004558913904770409,-2.3862915036579683e-05,9.144676923442532e-06,-2.715414594835292e-05
0.26,-5.168815986813643e-05,0.8825630008733168,-0.0005839855867403355,-0.06186764373188969,0.00037045642753263247,-0.2347703408347182,0.00040318108336878655,-2.371189401258712e-05,8.065873839279265e-06,-2.6807405220750305e-05
0.27,-5.129705609499811e-05,0.8825610908891572,-0.002931137459381988,-0.06183894542259201,-0.000728954229159284,-0.23463513979313835,0.005363730776144433,-2.42990132026568e-05,6.7778448688358625e-06,-2.739825244027975e-05
0.28,-5.0868109893164116e-05,0.8825481811915001,-0.005276012645452994,-0.06176067899894807,-0.0018296141173044403,-0.23431379013062115,0.010316003424657131,-2.4324999611504783e-05,5.473800030660885e-06,-2.7755880632827898e-05
0.29,-5.0393722192647464e-05,0.8825242595623338,-0.0076167583474664536,-0.06163295575002296,-0.002931950335031028,-0.23380759076692115,0.015253689552254562,-2.3858209953498713e-05,3.653705384890763e-06,-2.7499937773549338e-05
0.3,-4.9980638304009575e-05,0.882489303556975,-0.009951524573914397,-0.06145596194307188,-0.004036965736912608,-0.23311703865211028,0.020169335253127495,-2.3519698221960056e-05,2.558503399968108e-06,-2.7850667921277185e-05
0.31,-4.952479006704077e-05,0.8824432782873104,-0.01227847580251816,-0.0612299444132286,-0.0051458836428038245,-0.23224379206827986,0.025056935915234713,-2.357199288666949e-05,1.4508928102228526e-06,-2.746731387615034e-05
0.32,-4.929764888177797e-05,0.8823861339894797,-0.014595800731685994,-0.06095524133849881,-0.006260167048589727,-0.23119047518037691,0.02990743365436562,-2.4295728919824945e-05,-2.2979288449550978e-07,-2.9543218249295943e-05
0.33,-4.877041451116452e-05,0.8823178332799769,-0.016901706720562754,-0.060632222464132614,-0.007378545545171653,-0.22995917395106213,0.03471775891343913,-2.302930165921449e-05,-1.504313279935989e-06,-2.826021488524171e-05
0.34,-4.8351941589924295e-05,0.8822383282435898,-0.019194426155292047,-0.06026133202834447,-0.008502027617958024,-0.22855257735697337,0.03948056145615183,-2.2130102617694842e-05,-2.6006556186054033e-06,-2.809760680957508e-05
0.35000000000000003,-4.797588514652749e-05,0.8821475563772428,-0.02147222354750298,-0.0598430750557194,-0.009632032496174763,-0.22697406260504602,0.0441898788600456,-2.2087800823189636e-05,-3.864491096631507e-06,-2.789116498407421e-05
0.36,-4.7689253314432334e-05,0.8820454518579582,-0.02373339420830196,-0.05937802676533486,-0.010768848357366724,-0.22522688157517573,0.04883881592017676,-2.1866656325310245e-05,-4.830753009484512e-06,-2.882052969705466e-05
0.37,-4.7218974479559025e-05,0.8819319542695143,-0.02597627456129564,-0.05886679470124304,-0.011911886046909952,-0.22331530695842886,0.05342427718118964,-2.067782364293641e-05,-6.191545107662277e-06,-2.7353250921907493e-05
0.38,-4.6922389871097465e-05,0.8818069947104895,-0.02819923721369268,-0.05831005877069829,-0.0130619387316874,-0.22124309079854693,0.05793916501174817,-2.001346155233718e-05,-7.155172211820875e-06,-2.7776501823453566e-05
