t,reward,pos_rot_abs_0,pos_rot_abs_1,pos_rot_abs_2,vel_rot_abs_0,vel_rot_abs_1,vel_rot_abs_2,dv_0,dv_1,dv_2
0.0,-3.329676088971285e-05,0.8786652314108196,0.05549560040423681,-0.04638312594019477,0.02993961620333088,-0.17919039312527507,-0.11107703912777975,0.00014476534950569025,-0.00018029320745714585,-9.607828718098532e-05
0.01,-3.380865543707615e-05,0.8789593574970404,0.053683435811790185,-0.04747830196909514,0.02881160989174241,-0.18309905815550034,-0.10790067959039976,7.341345996513244e-05,-0.00012818506743816164,-3.850067915165645e-05
0.02,-3.43058118169847e-05,0.8792417392076837,0.051833046816573226,-0.048540974984065205,0.02763691311424015,-0.18687559285808347,-0.10459545512542058,2.7429023836534195e-05,-8.699313380153043e-05,-1.9617019696831225e-05
0.03,-3.478667736474483e-05,0.8795121213321739,0.04994567834293681,-0.049569990501311015,0.026437533757209287,-0.1905247364352042,-0.10117528124354816,1.7599955004002553e-06,-5.6326302385061505e-05,-1.3698042538882601e-05
0.04,-3.537326591330604e-05,0.8797704000100548,0.04802253568948313,-0.050564244630031084,0.02522846452108358,-0.19405055806431257,-0.09764535965196505,-1.032394944593384e-05,-3.530376606822619e-05,-1.1745581990643334e-05
0.05,-3.5974213836223425e-05,0.8800165529816006,0.046064815152578535,-0.051522669597480475,0.02401775651094918,-0.19745400693453993,-0.09400944808454911,-1.5545847838356892e-05,-2.071128452755106e-05,-1.2025504109437276e-05
0.06,-3.655639853109454e-05,0.8802506052100804,0.04407371958650773,-0.05244421859538826,0.022810038135204595,-0.20073445333710468,-0.09026979238856958,-1.714160399445668e-05,-1.0921437712865979e-05,-1.2727831873971726e-05
0.07,-3.698348970879197e-05,0.8804726113115865,0.04205047955942101,-0.053327859426781296,0.021608202285029788,-0.20388914514306652,-0.08642800798644748,-1.6701210200553986e-05,-3.7748233389954276e-06,-1.2915727662009535e-05
0.08,-3.7349168865843215e-05,0.8806826348320437,0.039996355496172836,-0.05417258358662932,0.020413068609968874,-0.20691511022340736,-0.08248662168903091,-1.615377830972648e-05,9.690918083689795e-07,-1.3186049237285624e-05
0.09,-3.764074335944097e-05,0.8808807461850084,0.03791264678888372,-0.054977413144635126,0.019225260480244165,-0.2098084734484385,-0.07844885226821001,-1.55670627407921e-05,4.255389424975768e-06,-1.3909497852302786e-05
0.1,-3.7852600229870855e-05,0.8810670166082273,0.03580069475960854,-0.055741399368402826,0.01804479625882168,-0.2125650747537434,-0.07431778293288127,-1.5420485663996146e-05,6.426934774771669e-06,-1.4624043512543104e-05
0.11,-3.79286783503605e-05,0.8812415274855638,0.0336618859290919,-0.056463622534830546,0.016872631156009132,-0.21518044729989289,-0.07009647972843042,-1.4657610854127965e-05,7.895924282540009e-06,-1.4983153460579939e-05
0.12,-3.800377254161515e-05,0.881404351381113,0.031497650746029046,-0.057143202735005186,0.0157078216272615,-0.21765024993344065,-0.06578908884096452,-1.5054860727847713e-05,8.634305410025766e-06,-1.5736576513914458e-05
0.13,-3.797329006224875e-05,0.8815555712284777,0.02930946657185225,-0.05777929708169689,0.014551347358185238,-0.21996987968698356,-0.0613994766691411,-1.4574162684902492e-05,9.071042386325068e-06,-1.6275988643041974e-05
0.14,-3.7921311442534934e-05,0.8816952654034962,0.027098852589181897,-0.05837110447540327,0.013402692093348776,-0.22213523706242166,-0.05693198385574732,-1.45902267906907e-05,8.871721325815685e-06,-1.6751598820605345e-05
0.15,-3.78437157195837e-05,0.8818235071419083,0.02486737501821495,-0.058917867627949955,0.012261288201999457,-0.22414172500771098,-0.05239114875340924,-1.5048051309547344e-05,8.733334924389683e-06,-1.7043943657654167e-05
0.16,-3.7774519880760445e-05,0.8819403670924324,0.022616643075872106,-0.059418884959506355,0.011126823501980219,-0.2259851614430093,-0.04778269520013489,-1.558414776584036e-05,8.477586120898026e-06,-1.803140360724283e-05
0.17,-3.762246461028032e-05,0.8820459205279949,0.02034830152242663,-0.05987350060625307,0.00999970393156997,-0.22766213648559183,-0.0431113403477619,-1.5366113101168498e-05,7.614175839673806e-06,-1.841344427286431e-05
0.18,-3.749443776519513e-05,0.8821402315805322,0.018064037076247274,-0.060281114195891695,0.008878770235467046,-0.22916859885104676,-0.038382771012927586,-1.5868615541941624e-05,7.06560597253858e-06,-1.8881934078459933e-05
0.19,-3.7325544295510883e-05,0.8822233646303258,0.015765569179965584,-0.060641181709867605,0.0077639994761813415,-0.2305014411446341,-0.03360275024986621,-1.585805353705575e-05,6.22061419846988e-06,-1.9254018256033077e-05
0.2,-3.7190977310506436e-05,0.8822953748826055,0.013454648022907943,-0.060953222368669714,0.0066544302673638474,-0.231657761993075,-0.028777718969153435,-1.6185605016905422e-05,5.2137039103809486e-06,-1.997031188306191e-05
0.21,-3.6977124164469554e-05,0.8823563147459421,0.011133050554178611,-0.06121680686226495,0.005549745837648121,-0.23263508175621253,-0.02391292760135382,-1.612711347319351e-05,4.001780212885502e-06,-1.9627278036316833e-05
0.22,-3.6834278611574614e-05,0.8824062262083738,0.008802584800382079,-0.06143158098995746,0.0044488753157735875,-0.23343047844770248,-0.01901597884932709,-1.6382770422346314e-05,3.41264715771306e-06,-2.0390853174351815e-05
0.23,-3.6692014774412807e-05,0.882445142347074,0.006465072369476507,-0.06159725518454672,0.003350894091054362,-0.2340428041964672,-0.014093412142268641,-1.6734736224943805e-05,2.0800302771717207e-06,-2.104022428750106e-05
0.24,-3.645680688272773e-05,0.8824730979952934,0.00412235047215383,-0.0617135959552515,0.0022559573345006696,-0.23447072386738932,-0.009150895598115737,-1.605639625997915e-05,6.365738199105395e-07,-2.0577581486691863e-05
0.25,-3.6326271465529097e-05,0.8824901076371338,0.001776273208436839,-0.06178044708931964,0.0011620154190015823,-0.23471275033266922,-0.004196201735180469,-1.652838324179085e-05,-3.522043354761699e-07,-2.1012798165244125e-05
0.26,-3.610328213376614e-05,0.882496185718166,-0.0005712969714973849,-0.06179771396483891,6.905707201120687e-05,-0.23476828866542504,0.0007644830050260731,-1.6091768624825102e-05,-1.3152480997144056e-06,-2.0698658638101904e-05
0.27,-3.5962968661821164e-05,0.8824913311103042,-0.0029184959195848012,-0.0617653792628929,-0.0010244801406562361,-0.23463738253431335,0.005723417435211371,-1.628552826918101e-05,-2.4536761127932418e-06,-2.1162932230284712e-05
0.28,-3.579144415412357e-05,0.8824755387728278,-0.005263461996918324,-0.06168349147509108,-0.002118986664135586,-0.23432051352291028,0.010674026799813467,-1.5938431384355716e-05,-3.7442455721657726e-06,-2.124670968718089e-05
0.29,-3.559233169999123e-05,0.8824487965604847,-0.00760433908817438,-0.06155216264719813,-0.0032151627360038713,-0.23381846238637294,0.015609979706995708,-1.53772038891442e-05,-5.0339125626854434e-06,-2.0748546735825276e-05
0.3,-3.5441779008020785e-05,0.8824110811918564,-0.00993927808951183,-0.06137157943937097,-0.00431410218940866,-0.23313214452964756,0.02052385614235943,-1.5030735722832622e-05,-6.020121900868394e-06,-2.0832872765475708e-05
0.31,-3.525807988763858e-05,0.8823623589066032,-0.012266444657357142,-0.06114198970537743,-0.005416835327601007,-0.23226325403253692,0.0254095932352708,-1.4875572257919344e-05,-7.053856261448036e-06,-2.025103777218042e-05
0.32,-3.5266874551324043e-05,0.8823025834551522,-0.014584029512834785,-0.06086372740316779,-0.006524588212182215,-0.2312144958522214,0.03025865183364137,-1.514587954408448e-05,-8.736223641596448e-06,-2.1619208903115236e-05
0.33,-3.500691154608769e-05,0.8822317160933933,-0.016890238268859787,-0.06053716035350135,-0.007636570763671477,-0.22998757696128147,0.03506773505037035,-1.3903959387953652e-05,-9.637803383382343e-06,-1.986525803896037e-05
0.34,-3.486882621651977e-05,0.8821497050062012,-0.019183302642187653,-0.06016273410062698,-0.00875405162661767,-0.22858528884004586,0.03982917066620203,-1.3283573653046214e-05,-1.0473198914151284e-05,-1.9562610822341214e-05
0.35000000000000003,-3.475152711345093e-05,0.8820564868901447,-0.021461485747463628,-0.059740954298500015,-0.009878140307282995,-0.22701094344466208,0.04453706203333512,-1.3204655263915066e-05,-1.1413557685548971e-05,-1.9159133489748617e-05
0.36,-3.4696709776450655e-05,0.8819519965407027,-0.02372308600990398,-0.05927239328855669,-0.011008982956519676,-0.22526824521958938,0.04918486480805402,-1.2789194836233617e-05,-1.2508703137794647e-05,-1.9549100202213977e-05
0.37,-3.4502896361646463e-05,0.881836170682202,-0.025966436389759536,-0.05875765972443273,-0.012146334979952537,-0.22336080008713835,0.053769084194069394,-1.1747552610376187e-05,-1.3337822599587406e-05,-1.7950057118474846e-05
0.38,-3.444820356764926e-05,0.8817089374955621,-0.028189909756173432,-0.05819743347336471,-0.013291002088215459,-0.22129273954679202,0.05828274052514598,-1.1231198052014423e-05,-1.4155050593289651e-05,-1.8131590341448746e-05
0.39,-3.440635329213444e-05,0.8815702206007239,-0.030391922239023393,-0.05759244297920293,-0.01444338579617854,-0.21906850622523072,0.06272112901885772,-1.0939001937385463e-05,-1.5022481473468963e-05,-1.8118085135100838e-05
0.4,-3.434553860003379e-05,0.8814199473932997,-0.032570936161581805,-0.05694345789551397,-0.015603056777710397,-0.21669283662043962,0.06708028362830505,-1.0145124252636038e-05,-1.6000110053333304e-05,-1.7481705847804e-05
0.41000000000000003,-3.424937714748939e-05,0.8812580472583078,-0.03472545575092811,-0.056251290049762176,-0.016769758906476816,-0.2141700139344359,0.07135614770994049,-9.142755509573451e-06,-1.6436282168589224e-05,-1.663288990614827e-05
0.42,-3.4211596091367505e-05,0.8810844450524881,-0.0368540358898775,-0.055516796673368035,-0.01794388604776367,-0.21150518689820347,0.0755443443508764,-8.687924453434529e-06,-1.7043023286069778e-05,-1.6217445219709157e-05
0.43,-3.417536441314597e-05,0.8808990677069839,-0.038955281448969974,-0.054740872150866225,-0.01912518105128498,-0.2087034064461332,0.07964132294084952,-8.238947504380233e-06,-1.758720690537468e-05,-1.5737657612208105e-05
0.44,-3.406730574121218e-05,0.8807018478591369,-0.04102784448126308,-0.05392443916245092,-0.02031301445176655,-0.20576945745878025,0.08364441662832908,-7.53916623523189e-06,-1.7691284133521694e-05,-1.463879229458501e-05
0.45,-3.40950881539723e-05,0.8804927218999399,-0.04307043581154302,-0.05306846552401612,-0.021506965798142492,-0.20270924622986017,0.08754927826721332,-6.888947077190405e-06,-1.8398581488979898e-05,-1.4928307879151024e-05
0.46,-3.40738827186748e-05,0.8802716345688686,-0.04508181830936834,-0.05217393468651504,-0.022706147780752063,-0.19952800616644173,0.09135450267602291,-5.923849651566335e-06,-1.897786776603868e-05,-1.3987193642694492e-05
0.47000000000000003,-3.407200880916188e-05,0.8800385316396786,-0.04706080494195533,-0.05124186063782406,-0.023910407337219254,-0.196230752120125,0.09505719393181286,-5.480871003533535e-06,-1.9193968299424977e-05,-1.3622600748278327e-05
0.48,-3.412386852298145e-05,0.8797933649433578,-0.04900626678950663,-0.05027327950176805,-0.0251190982073816,-0.1928232939605334,0.09865529327163737,-5.147973455027516e-06,-1.9840181900515673e-05,-1.3305481968545029e-05
0.49,-3.407794403181439e-05,0.8795361014508858,-0.050917120844430536,-0.04926923839360551,-0.026330657168755482,-0.1893102247610092,0.10214784938671435,-4.108432299538903e-06,-1.9704027516006122e-05,-1.2226730251280816e-05
0.5,-3.410770745649247e-05,0.8792667127061529,-0.052792340495616645,-0.048230809381781606,-0.027544591040684546,-0.18569715067883336,0.10553250864146996,-3.5052216611440943e-06,-1.9845269838268738e-05,-1.2075915236515294e-05
0.51,-3.4177200589107344e-05,0.8789851794751494,-0.05463095482943296,-0.04715907672857076,-0.028759944329744148,-0.1819896179962456,0.10880818869856179,-2.9419007345701443e-06,-2.026135441186876e-05,-1.1856582758978712e-05
0.52,-3.4178661405093316e-05,0.8786914930087991,-0.0564320398116453,-0.04605512859582203,-0.029975631969012685,-0.1781922739810984,0.11197462842874556,-2.3647158486900823e-06,-2.0126075615385376e-05,-1.1008908104314483e-05
0.53,-3.4197046536316634e-05,0.8783856554490888,-0.058194724016486614,-0.04492006258510619,-0.031190537551102654,-0.17431033260018403,0.11503100789854395,-1.7982924049512663e-06,-2.009314403623668e-05,-1.0338902467737788e-05
0.54,-3.435228925200185e-05,0.8780676777166041,-0.05991819344959319,-0.04375499386528575,-0.032403765417362264,-0.1703494911375013,0.11797568396626976,-1.4998671897813071e-06,-2.075149333057207e-05,-1.0902681168352299e-05
0.55,-3.431996777508619e-05,0.8777375888271575,-0.061601669881392575,-0.04256102378539267,-0.033613470570418524,-0.16631326678991742,0.12081014782844901,-5.916176784317684e-07,-2.0019507258183323e-05,-9.783821333204295e-06
0.56,-3.438854646167982e-05,0.8773954226932956,-0.0632444319900676,-0.04133926265257434,-0.03481915356379113,-0.16220728918216107,0.12353360178222733,-4.3898508519889e-07,-2.0144440262518152e-05,-9.473979897005327e-06
0.5700000000000001,-3.445809886333715e-05,0.8770412315071787,-0.06484580396539223,-0.04009082016828938,-0.036018972781105614,-0.15803604420480638,0.1261462004432829,2.6705926016088483e-07,-2.009895515973227e-05,-9.208475806454919e-06
0.58,-3.451859020473725e-05,0.8766750811528589,-0.06640515474988411,-0.03881680025137997,-0.03721154228001021,-0.15380394658728036,0.12864860715314652,1.045219225135175e-06,-1.9943837204039698e-05,-8.651484207863786e-06
0.59,-3.4676184081838814e-05,0.8762970465528088,-0.06792190435296763,-0.03751830724708438,-0.03839596212697258,-0.14951602675701167,0.13104085688793157,1.4057799099477371e-06,-2.0441185051864663e-05,-8.589348302302915e-06
0.6,-3.470786214623252e-05,0.8759072133866433,-0.0693955044535957,-0.03619643470878991,-0.039571137270561885,-0.14517538361523985,0.13332409865690859,1.5105447974587746e-06,-1.980526824761941e-05,-8.051725417552836e-06
0.61,-3.478327402351838e-05,0.8755056820407286,-0.07082545299875082,-0.03485227210599673,-0.04073559772494815,-0.1407865598990307,0.135498806914225,1.7384216703297527e-06,-1.962006332544778e-05,-7.842937230641481e-06
0.62,-3.4800119400445035e-05,0.8750925673336272,-0.07221128364520354,-0.03348689780766956,-0.04188790309741259,-0.13635307382249554,0.13756614586609017,2.051537349728999e-06,-1.9002804615983276e-05,-7.3896685537621834e-06
0.63,-3.488404400927745e-05,0.8746679993493707,-0.07355257447243817,-0.0321013844903611,-0.0430265282942924,-0.13187928439630153,0.13952673742847826,2.5509558011801197e-06,-1.89337257114542e-05,-7.337971313067522e-06
0.64,-3.500320254111206e-05,0.8742321198111735,-0.0748489431821934,-0.030696793949569964,-0.04415032259992274,-0.12736908480283493,0.14138171426651738,2.877310724278254e-06,-1.909300023769902e-05,-7.2686709276037495e-06
0.65,-3.5054765569374334e-05,0.8737850833730034,-0.07610003753122423,-0.029274171718493412,-0.04525798971640301,-0.12282541497406663,0.14313274135788717,3.179157243902933e-06,-1.866834721301401e-05,-6.729423422684601e-06
