t,reward,pos_rot_abs_0,pos_rot_abs_1,pos_rot_abs_2,vel_rot_abs_0,vel_rot_abs_1,vel_rot_abs_2,dv_0,dv_1,dv_2
0.0,-3.7073022448780176e-05,0.8786613436713524,0.05549594900957696,-0.046382602925176805,0.029551081303646278,-0.17915158177037716,-0.11102480756010077,-0.0002442829900761204,-0.0001493534128433082,-4.3742173952615085e-05
0.01,-5.0475096513592705e-05,0.8789484298745428,0.05368407870721952,-0.04747735052099439,0.028107527784338164,-0.18306237330107858,-0.10785806541259904,-0.0002420121516296162,-0.000144763052439324,-4.772204790139358e-05
0.02,-6.450891377374104e-05,0.8792210189061203,0.05183362510695592,-0.04853993315083574,0.02665676493501639,-0.18687181049517348,-0.10458687951442948,-0.0002469704840885311,-0.00014029016506732708,-5.2815843663752406e-05
0.03,-7.832028200194276e-05,0.879479069779028,0.04994564581213032,-0.04956932144108335,0.025202415534087898,-0.1905727269636052,-0.10121332552333864,-0.0002493443252151988,-0.00013415920059672902,-5.889326244317642e-05
0.04,-9.208964144303938e-05,0.8797225507161766,0.04802125447883977,-0.05056446780775272,0.023745353344443786,-0.19415948619292386,-0.09773572717650045,-0.0002517913696689138,-0.0001279658202548968,-6.191542001162325e-05
0.05,-0.00010597426937612569,0.8799514450280406,0.04606160972763262,-0.051524375746785867,0.022287027441854075,-0.19762757758097868,-0.0941593438999607,-0.0002536154985487676,-0.00012286818677726162,-6.851720615121759e-05
0.06,-0.0001204981956716695,0.8801657032866793,0.04406791855645141,-0.052448081404014114,0.020824097693249714,-0.20097211178236238,-0.09048759833982123,-0.00025947959559950544,-0.0001185930708323515,-7.654853345571451e-05
0.07,-0.00013433756857305875,0.8803653400513102,0.04204149275859928,-0.053334604174006026,0.019362956026931156,-0.20418267025353107,-0.08671897913392604,-0.00025963213486442105,-0.00010949544522540424,-8.074994984457677e-05
0.08,-0.00014849414459444074,0.8805503521800683,0.039983675663010726,-0.05418296592976387,0.01790174477287114,-0.2072560930293449,-0.08285390251244233,-0.00026215461415095016,-0.00010285055038764984,-8.271357802810831e-05
0.09,-0.0001628507730040608,0.8807207471494768,0.03789586668439558,-0.05499224951797389,0.01644146530184195,-0.2101868091581221,-0.07889863801263212,-0.0002640623958351969,-9.617726121636574e-05,-8.794992409946548e-05
0.1,-0.00017808198842353298,0.8808764836473129,0.035779515891271235,-0.05576157458568986,0.01497716527539824,-0.2129697465196073,-0.07485703957103007,-0.0002711686317412082,-8.999253314110165e-05,-9.369556996348285e-05
0.11,-0.0001924687066697387,0.8810176159290322,0.03363617824643904,-0.05649007369484131,0.01351838774572357,-0.21559457198988913,-0.07073057329359828,-0.00026894605269757736,-7.872824668041664e-05,-9.721248888652637e-05
0.12,-0.00020861066052801694,0.8811440816424665,0.03146738600015518,-0.05717692197094905,0.01205332508671322,-0.2180635180394989,-0.066523671835447,-0.00027845979691267506,-7.503311246645809e-05,-0.00010111733471158465
